transaction_id,student_id,course_id,term_id,internal_marks,external_marks,total_marks,grade_point,result_status,attendance_percentage
TRX_0000001,ST_2019_D001_001,CS_101,T_2019-2020_ODD,25,39,64,7,Pass,87
TRX_0000002,ST_2019_D001_001,CS_102,T_2019-2020_ODD,20,32,52,6,Pass,75
TRX_0000003,ST_2019_D001_001,CS_103,T_2019-2020_ODD,20,31,51,6,Pass,74
TRX_0000004,ST_2019_D001_001,CS_104,T_2019-2020_ODD,28,44,72,8,Pass,90
TRX_0000005,ST_2019_D001_001,CS_105,T_2019-2020_ODD,20,30,50,6,Pass,68
TRX_0000006,ST_2019_D001_001,CS_106,T_2019-2020_ODD,28,42,70,8,Pass,75
TRX_0000007,ST_2019_D001_001,CS_107,T_2019-2020_ODD,28,43,71,8,Pass,68
TRX_0000008,ST_2019_D001_001,CS_108,T_2019-2020_ODD,22,33,55,6,Pass,90
TRX_0000009,ST_2019_D001_002,CS_101,T_2019-2020_ODD,37,56,93,10,Pass,92
TRX_0000010,ST_2019_D001_002,CS_102,T_2019-2020_ODD,36,56,92,10,Pass,90
TRX_0000011,ST_2019_D001_002,CS_103,T_2019-2020_ODD,34,51,85,9,Pass,90
TRX_0000012,ST_2019_D001_002,CS_104,T_2019-2020_ODD,36,55,91,10,Pass,98
TRX_0000013,ST_2019_D001_002,CS_105,T_2019-2020_ODD,35,54,89,9,Pass,92
TRX_0000014,ST_2019_D001_002,CS_106,T_2019-2020_ODD,32,48,80,9,Pass,90
TRX_0000015,ST_2019_D001_002,CS_107,T_2019-2020_ODD,35,54,89,9,Pass,98
TRX_0000016,ST_2019_D001_002,CS_108,T_2019-2020_ODD,39,59,98,10,Pass,85
TRX_0000017,ST_2019_D001_003,CS_101,T_2019-2020_ODD,31,47,78,8,Pass,84
TRX_0000018,ST_2019_D001_003,CS_102,T_2019-2020_ODD,25,39,64,7,Pass,71
TRX_0000019,ST_2019_D001_003,CS_103,T_2019-2020_ODD,25,38,63,7,Pass,83
TRX_0000020,ST_2019_D001_003,CS_104,T_2019-2020_ODD,20,30,50,6,Pass,77
TRX_0000021,ST_2019_D001_003,CS_105,T_2019-2020_ODD,22,34,56,6,Pass,87
TRX_0000022,ST_2019_D001_003,CS_106,T_2019-2020_ODD,23,35,58,6,Pass,71
TRX_0000023,ST_2019_D001_003,CS_107,T_2019-2020_ODD,28,44,72,8,Pass,89
TRX_0000024,ST_2019_D001_003,CS_108,T_2019-2020_ODD,30,45,75,8,Pass,90
TRX_0000025,ST_2019_D001_004,CS_101,T_2019-2020_ODD,27,41,68,7,Pass,67
TRX_0000026,ST_2019_D001_004,CS_102,T_2019-2020_ODD,30,45,75,8,Pass,68
TRX_0000027,ST_2019_D001_004,CS_103,T_2019-2020_ODD,22,33,55,6,Pass,82
TRX_0000028,ST_2019_D001_004,CS_104,T_2019-2020_ODD,24,36,60,7,Pass,76
TRX_0000029,ST_2019_D001_004,CS_105,T_2019-2020_ODD,25,39,64,7,Pass,71
TRX_0000030,ST_2019_D001_004,CS_106,T_2019-2020_ODD,23,35,58,6,Pass,68
TRX_0000031,ST_2019_D001_004,CS_107,T_2019-2020_ODD,30,47,77,8,Pass,86
TRX_0000032,ST_2019_D001_004,CS_108,T_2019-2020_ODD,26,40,66,7,Pass,80
TRX_0000033,ST_2019_D001_005,CS_101,T_2019-2020_ODD,19,30,49,5,Pass,60
TRX_0000034,ST_2019_D001_005,CS_102,T_2019-2020_ODD,12,20,32,0,Fail,65
TRX_0000035,ST_2019_D001_005,CS_103,T_2019-2020_ODD,18,29,47,5,Pass,62
TRX_0000036,ST_2019_D001_005,CS_104,T_2019-2020_ODD,14,22,36,0,Fail,69
TRX_0000037,ST_2019_D001_005,CS_105,T_2019-2020_ODD,12,18,30,0,Fail,59
TRX_0000038,ST_2019_D001_005,CS_106,T_2019-2020_ODD,18,27,45,5,Debarred,48
TRX_0000039,ST_2019_D001_005,CS_107,T_2019-2020_ODD,16,24,40,0,Debarred,47
TRX_0000040,ST_2019_D001_005,CS_108,T_2019-2020_ODD,12,20,32,0,Fail,59
TRX_0000041,ST_2019_D001_006,CS_101,T_2019-2020_ODD,19,29,48,5,Pass,51
TRX_0000042,ST_2019_D001_006,CS_102,T_2019-2020_ODD,22,35,57,6,Debarred,49
TRX_0000043,ST_2019_D001_006,CS_103,T_2019-2020_ODD,20,31,51,6,Pass,64
TRX_0000044,ST_2019_D001_006,CS_104,T_2019-2020_ODD,19,30,49,5,Debarred,48
TRX_0000045,ST_2019_D001_006,CS_105,T_2019-2020_ODD,14,22,36,0,Fail,67
TRX_0000046,ST_2019_D001_006,CS_106,T_2019-2020_ODD,23,36,59,6,Pass,71
TRX_0000047,ST_2019_D001_006,CS_107,T_2019-2020_ODD,24,36,60,7,Pass,51
TRX_0000048,ST_2019_D001_006,CS_108,T_2019-2020_ODD,22,34,56,6,Pass,50
TRX_0000049,ST_2019_D001_007,CS_101,T_2019-2020_ODD,13,20,33,0,Fail,58
TRX_0000050,ST_2019_D001_007,CS_102,T_2019-2020_ODD,18,27,45,5,Pass,51
TRX_0000051,ST_2019_D001_007,CS_103,T_2019-2020_ODD,11,17,28,0,Fail,68
TRX_0000052,ST_2019_D001_007,CS_104,T_2019-2020_ODD,10,15,25,0,Fail,62
TRX_0000053,ST_2019_D001_007,CS_105,T_2019-2020_ODD,13,20,33,0,Fail,71
TRX_0000054,ST_2019_D001_007,CS_106,T_2019-2020_ODD,19,30,49,5,Pass,52
TRX_0000055,ST_2019_D001_007,CS_107,T_2019-2020_ODD,22,35,57,6,Pass,75
TRX_0000056,ST_2019_D001_007,CS_108,T_2019-2020_ODD,20,31,51,6,Pass,71
TRX_0000057,ST_2019_D001_008,CS_101,T_2019-2020_ODD,36,54,90,10,Pass,100
TRX_0000058,ST_2019_D001_008,CS_102,T_2019-2020_ODD,36,56,92,10,Pass,99
TRX_0000059,ST_2019_D001_008,CS_103,T_2019-2020_ODD,30,47,77,8,Pass,90
TRX_0000060,ST_2019_D001_008,CS_104,T_2019-2020_ODD,32,50,82,9,Pass,85
TRX_0000061,ST_2019_D001_008,CS_105,T_2019-2020_ODD,31,47,78,8,Pass,94
TRX_0000062,ST_2019_D001_008,CS_106,T_2019-2020_ODD,33,51,84,9,Pass,93
TRX_0000063,ST_2019_D001_008,CS_107,T_2019-2020_ODD,32,50,82,9,Pass,94
TRX_0000064,ST_2019_D001_008,CS_108,T_2019-2020_ODD,38,57,95,10,Pass,99
TRX_0000065,ST_2019_D001_009,CS_101,T_2019-2020_ODD,29,45,74,8,Pass,88
TRX_0000066,ST_2019_D001_009,CS_102,T_2019-2020_ODD,26,39,65,7,Pass,89
TRX_0000067,ST_2019_D001_009,CS_103,T_2019-2020_ODD,26,40,66,7,Pass,82
TRX_0000068,ST_2019_D001_009,CS_104,T_2019-2020_ODD,27,41,68,7,Pass,68
TRX_0000069,ST_2019_D001_009,CS_105,T_2019-2020_ODD,23,35,58,6,Pass,68
TRX_0000070,ST_2019_D001_009,CS_106,T_2019-2020_ODD,26,41,67,7,Pass,89
TRX_0000071,ST_2019_D001_009,CS_107,T_2019-2020_ODD,26,41,67,7,Pass,76
TRX_0000072,ST_2019_D001_009,CS_108,T_2019-2020_ODD,20,31,51,6,Pass,89
TRX_0000073,ST_2019_D001_010,CS_101,T_2019-2020_ODD,29,44,73,8,Pass,89
TRX_0000074,ST_2019_D001_010,CS_102,T_2019-2020_ODD,26,41,67,7,Pass,79
TRX_0000075,ST_2019_D001_010,CS_103,T_2019-2020_ODD,25,38,63,7,Pass,71
TRX_0000076,ST_2019_D001_010,CS_104,T_2019-2020_ODD,29,44,73,8,Pass,68
TRX_0000077,ST_2019_D001_010,CS_105,T_2019-2020_ODD,29,45,74,8,Pass,85
TRX_0000078,ST_2019_D001_010,CS_106,T_2019-2020_ODD,23,36,59,6,Pass,72
TRX_0000079,ST_2019_D001_010,CS_107,T_2019-2020_ODD,25,39,64,7,Pass,66
TRX_0000080,ST_2019_D001_010,CS_108,T_2019-2020_ODD,24,37,61,7,Pass,73
TRX_0000081,ST_2019_D001_011,CS_101,T_2019-2020_ODD,21,32,53,6,Debarred,45
TRX_0000082,ST_2019_D001_011,CS_102,T_2019-2020_ODD,16,24,40,0,Debarred,47
TRX_0000083,ST_2019_D001_011,CS_103,T_2019-2020_ODD,18,29,47,5,Pass,53
TRX_0000084,ST_2019_D001_011,CS_104,T_2019-2020_ODD,14,21,35,0,Fail,67
TRX_0000085,ST_2019_D001_011,CS_105,T_2019-2020_ODD,15,23,38,0,Debarred,48
TRX_0000086,ST_2019_D001_011,CS_106,T_2019-2020_ODD,11,17,28,0,Fail,53
TRX_0000087,ST_2019_D001_011,CS_107,T_2019-2020_ODD,23,36,59,6,Pass,62
TRX_0000088,ST_2019_D001_011,CS_108,T_2019-2020_ODD,23,36,59,6,Pass,57
TRX_0000089,ST_2019_D001_012,CS_101,T_2019-2020_ODD,34,51,85,9,Pass,90
TRX_0000090,ST_2019_D001_012,CS_102,T_2019-2020_ODD,34,52,86,9,Pass,94
TRX_0000091,ST_2019_D001_012,CS_103,T_2019-2020_ODD,37,56,93,10,Pass,93
TRX_0000092,ST_2019_D001_012,CS_104,T_2019-2020_ODD,31,48,79,8,Pass,88
TRX_0000093,ST_2019_D001_012,CS_105,T_2019-2020_ODD,31,47,78,8,Pass,98
TRX_0000094,ST_2019_D001_012,CS_106,T_2019-2020_ODD,38,59,97,10,Pass,93
TRX_0000095,ST_2019_D001_012,CS_107,T_2019-2020_ODD,38,59,97,10,Pass,89
TRX_0000096,ST_2019_D001_012,CS_108,T_2019-2020_ODD,32,50,82,9,Pass,89
TRX_0000097,ST_2019_D001_013,CS_101,T_2019-2020_ODD,38,59,97,10,Pass,89
TRX_0000098,ST_2019_D001_013,CS_102,T_2019-2020_ODD,33,51,84,9,Pass,95
TRX_0000099,ST_2019_D001_013,CS_103,T_2019-2020_ODD,36,56,92,10,Pass,97
TRX_0000100,ST_2019_D001_013,CS_104,T_2019-2020_ODD,37,56,93,10,Pass,89
TRX_0000101,ST_2019_D001_013,CS_105,T_2019-2020_ODD,38,59,97,10,Pass,93
TRX_0000102,ST_2019_D001_013,CS_106,T_2019-2020_ODD,35,54,89,9,Pass,98
TRX_0000103,ST_2019_D001_013,CS_107,T_2019-2020_ODD,31,48,79,8,Pass,99
TRX_0000104,ST_2019_D001_013,CS_108,T_2019-2020_ODD,34,53,87,9,Pass,87
TRX_0000105,ST_2019_D001_014,CS_101,T_2019-2020_ODD,29,44,73,8,Pass,81
TRX_0000106,ST_2019_D001_014,CS_102,T_2019-2020_ODD,28,44,72,8,Pass,73
TRX_0000107,ST_2019_D001_014,CS_103,T_2019-2020_ODD,25,39,64,7,Pass,76
TRX_0000108,ST_2019_D001_014,CS_104,T_2019-2020_ODD,24,36,60,7,Pass,80
TRX_0000109,ST_2019_D001_014,CS_105,T_2019-2020_ODD,20,30,50,6,Pass,83
TRX_0000110,ST_2019_D001_014,CS_106,T_2019-2020_ODD,30,47,77,8,Pass,89
TRX_0000111,ST_2019_D001_014,CS_107,T_2019-2020_ODD,20,32,52,6,Pass,88
TRX_0000112,ST_2019_D001_014,CS_108,T_2019-2020_ODD,25,39,64,7,Pass,88
TRX_0000113,ST_2019_D001_015,CS_101,T_2019-2020_ODD,11,18,29,0,Fail,62
TRX_0000114,ST_2019_D001_015,CS_102,T_2019-2020_ODD,20,30,50,6,Pass,74
TRX_0000115,ST_2019_D001_015,CS_103,T_2019-2020_ODD,20,32,52,6,Pass,53
